customer_id,customer_name,gender,age,city,state,join_date,plan_id,contract_type,internet_service,tenure_months,churn
54,Aashi Dasgupta,Female,64,Amaravati,Gujarat,2021-05-07,2,Annual,5G,38,No
55,Isha Kade,Male,39,Nizamabad,Karnataka,2024-06-23,1,Monthly,5G,21,No
56,Upkaar Dhaliwal,Female,28,Jaunpur,Tamil Nadu,2023-04-04,3,Two-Year,5G,35,No
57,Idika Tank,Female,50,Motihari,Rajasthan,2021-08-22,3,Two-Year,Fiber,44,Yes
58,Pushti Tata,Male,49,Durg,Madhya Pradesh,2022-10-29,4,Monthly,5G,17,No
59,Reyansh Golla,Male,38,Coimbatore,Rajasthan,2023-07-20,1,Monthly,Fiber,54,No
60,Baghyawati Hegde,Male,56,Barasat,Delhi,2025-01-02,3,Monthly,Fiber,58,Yes
61,Advaith Deshpande,Male,37,Dehri,Karnataka,2021-05-17,1,Monthly,Fiber,44,No
62,Meera Chandra,Male,25,Srinagar,Maharashtra,2022-07-10,2,Monthly,Fiber,57,No
63,Dakshesh Narayan,Male,59,Bhopal,Maharashtra,2023-01-29,1,Monthly,,59,No
64,Neelima Gopal,Male,54,Amravati,Tamil Nadu,2024-03-18,1,Monthly,Fiber,4,No
65,Lucky Khurana,Male,26,Jammu,Gujarat,2021-02-25,3,Monthly,None,14,No
66,Ati Issac,Female,42,Kollam,Delhi,2021-12-22,4,Monthly,5G,40,Yes
67,Kritika Dey,Female,42,Nandyal,Karnataka,2024-07-04,4,Monthly,None,32,Yes
68,Isha Dhaliwal,Male,50,Ballia,Gujarat,2023-07-12,4,Monthly,5G,18,Yes
69,Eiravati Lanka,Female,19,Shimla,Gujarat,2023-03-24,2,Monthly,None,59,No
70,Peter Pingle,Female,36,Hindupur,Madhya Pradesh,2023-12-23,2,Two-Year,Fiber,34,Yes
71,Nimrat Arora,Female,63,,Madhya Pradesh,2023-12-23,3,Monthly,DSL,32,No
72,Kai Taneja,Female,37,Satara,Karnataka,2023-03-17,4,Two-Year,Fiber,14,No
73,Pranav Ahuja,Male,59,Bathinda,Karnataka,2023-11-19,2,Monthly,DSL,36,No
74,Atharv Ravi,Female,58,Pudukkottai,Karnataka,2025-04-25,4,Annual,5G,34,No
75,Qadim Rajagopalan,Male,59,Nagaon,Karnataka,2022-08-23,4,Monthly,DSL,6,No
76,Reyansh Banik,Female,46,Gangtok,Maharashtra,2022-07-22,2,Two-Year,Fiber,40,Yes
77,Jacob Deol,Female,23,Ujjain,Rajasthan,2024-08-16,4,Monthly,DSL,35,Yes
78,Garima Thaman,Female,34,Secunderabad,Rajasthan,2022-12-06,1,Two-Year,Fiber,15,No
79,Saksham Chaudry,Male,42,,Gujarat,2022-09-04,3,Monthly,5G,51,No
80,Harshil Lanka,Female,55,Barasat,Rajasthan,2024-05-23,2,Monthly,DSL,20,No
81,Yamini Oza,Male,21,Nandyal,Gujarat,2021-05-21,2,Monthly,5G,28,No
82,Gavin Kala,Female,47,Bhiwandi,Maharashtra,2025-03-11,4,Annual,None,37,No
83,Abeer Iyengar,Male,37,Mira-Bhayandar,Rajasthan,2022-07-15,2,Two-Year,Fiber,51,No
84,Ubika Bahl,Female,20,Hospet,Gujarat,2022-05-14,1,Monthly,None,38,No
85,Aadhya Luthra,Male,40,Bardhaman,Karnataka,2022-09-19,4,Annual,None,21,No
86,William Aggarwal,Male,68,Navi Mumbai,Delhi,2022-05-17,1,Annual,DSL,24,Yes
87,Dayamai Memon,Female,35,South Dumdum,Rajasthan,2023-01-11,3,Annual,5G,10,Yes
88,George Ray,Male,43,Ulhasnagar,Madhya Pradesh,2023-02-03,3,Annual,Fiber,36,Yes
89,Laban Aurora,Female,53,Ambarnath,Madhya Pradesh,2024-04-29,1,Monthly,None,54,No
90,Ayaan Sabharwal,Female,25,Morbi,Gujarat,2022-11-06,4,Monthly,DSL,9,No
91,Owen Garg,Female,34,Bulandshahr,Delhi,2021-02-18,3,Annual,None,22,No
92,Ishwar Mishra,Female,48,Gwalior,Madhya Pradesh,2024-10-18,4,Monthly,Fiber,42,No
93,Advika Vyas,Female,54,Nellore,Rajasthan,2022-09-19,4,Two-Year,5G,37,No
94,Harshil Garg,Female,62,Agartala,Delhi,2022-11-11,3,Two-Year,DSL,16,No
95,Nakul Sarna,Female,50,Sasaram,Maharashtra,2025-02-28,3,Two-Year,Fiber,43,No
96,Veda Gopal,Female,44,Bidhannagar,Tamil Nadu,2021-10-04,1,Monthly,None,24,No
97,Pranav Mangal,Female,62,Bilaspur,Gujarat,2021-02-16,4,Monthly,DSL,4,No
98,Chanakya Devi,Female,21,,Maharashtra,2023-07-15,1,Monthly,5G,44,Yes
99,Dalaja Behl,Female,39,Kolkata,Maharashtra,2021-08-04,2,Two-Year,DSL,54,No
100,Logan Kara,Male,43,Firozabad,Delhi,2021-08-18,2,Monthly,None,23,No
101,Champak Oak,Male,49,North Dumdum,Gujarat,2021-11-19,2,Monthly,5G,42,No
102,Geetika Murty,Female,41,Proddatur,Maharashtra,2024-12-15,2,Monthly,Fiber,22,No
103,Radhika Dhar,Female,63,Gandhidham,Karnataka,2021-08-13,3,Monthly,5G,56,No
104,Vidhi Dass,Female,52,Gurgaon,Maharashtra,2024-08-03,3,Monthly,Fiber,2,No
105,Vaishnavi Savant,Female,54,Bidar,Karnataka,2021-02-15,1,Monthly,5G,28,No
106,Pahal Mittal,Female,49,Nagaon,Tamil Nadu,2023-11-04,3,Monthly,Fiber,53,No
107,Qadim Ravel,Female,24,Pune,Karnataka,2022-09-25,3,Two-Year,DSL,19,No
108,Ria Bhat,Female,50,Imphal,Karnataka,2022-01-10,3,Annual,5G,20,No
109,Arunima Kothari,Female,48,Mira-Bhayandar,Delhi,2022-12-04,2,Annual,DSL,28,Yes
110,Laksh Sampath,Male,29,Satna,Maharashtra,2023-09-14,1,Monthly,DSL,42,No
111,Jeet Sehgal,Female,28,Bidar,Tamil Nadu,2021-11-29,4,Two-Year,5G,24,No
112,Jairaj Wason,Male,41,Tiruvottiyur,Maharashtra,2021-06-15,4,Two-Year,Fiber,27,No
113,Tanay Singh,Female,25,Bellary,Rajasthan,2022-05-22,4,Two-Year,DSL,44,No
114,Wriddhish Varughese,Female,49,Bellary,Rajasthan,2021-04-27,2,Monthly,Fiber,2,No
115,Panini Jaggi,Male,55,Bhavnagar,Karnataka,2023-08-01,3,Two-Year,DSL,57,No
116,Keya De,Female,39,Unnao,Madhya Pradesh,2022-09-28,3,Monthly,Fiber,7,No
117,Harshil Keer,Male,51,Gwalior,Karnataka,2025-05-09,4,Monthly,DSL,60,Yes
118,Abdul Sarraf,Female,36,Tenali,Maharashtra,2025-01-02,4,Monthly,Fiber,1,No
119,Kevin Kohli,Female,69,Nizamabad,Tamil Nadu,2024-08-20,1,Annual,5G,11,No
120,Balvan Pai,Male,37,Alwar,Madhya Pradesh,2022-04-02,2,Annual,Fiber,51,No
121,Xiti Sehgal,Female,31,Jamnagar,Tamil Nadu,2023-05-19,3,Monthly,Fiber,60,No
122,Diya Kalita,Male,50,Nagpur,Delhi,2024-07-18,4,Annual,DSL,31,No
123,Libni Borah,Female,27,Nashik,Karnataka,2021-08-04,4,Monthly,Fiber,30,Yes
124,Lavanya Sarraf,Male,33,Tiruchirappalli,Karnataka,2021-04-23,1,Monthly,Fiber,13,No
125,Advaith Zachariah,Male,21,Miryalaguda,Rajasthan,2023-11-06,3,Monthly,5G,24,Yes
126,Lekha Natarajan,Female,44,Kottayam,Delhi,2021-08-04,3,Annual,DSL,18,No
127,Anika Vasa,Female,45,Ahmednagar,Rajasthan,2022-03-03,1,Monthly,Fiber,58,No
128,Ekani Seshadri,Male,60,Dehri,Maharashtra,2024-03-04,1,Monthly,Fiber,13,No
129,Ronith Vora,Female,33,Mau,Karnataka,2023-12-03,3,Two-Year,DSL,55,Yes
130,Priya Chowdhury,Female,69,Dhanbad,Maharashtra,2023-02-03,1,Two-Year,5G,17,No
131,Lajita Bahri,Female,50,Nagpur,Tamil Nadu,2021-10-11,4,Monthly,Fiber,46,No
132,Warhi Bhatnagar,Male,65,Durgapur,Madhya Pradesh,2023-04-14,3,Annual,Fiber,48,No
133,Radhika Nagar,Male,36,Ozhukarai,Madhya Pradesh,2024-01-27,2,Monthly,Fiber,30,No
134,Hemangini Bava,Male,38,Rohtak,Madhya Pradesh,2023-12-20,3,Annual,None,19,No
135,Hitesh Bobal,Male,39,Sangli-Miraj & Kupwad,Rajasthan,2021-08-18,1,Monthly,DSL,12,No
136,Dayita Shroff,Male,26,Ichalkaranji,Gujarat,2022-01-20,2,Monthly,Fiber,26,Yes
137,Leena Thaker,Male,26,Danapur,Delhi,2021-06-08,4,Monthly,DSL,18,No
138,Sudiksha Varty,Male,26,Tenali,Madhya Pradesh,2023-04-04,4,Monthly,5G,12,No
139,Harsh Batta,Male,44,Bahraich,Karnataka,2022-04-16,4,Monthly,Fiber,44,No
140,Ekiya Purohit,Male,34,Bhilai,Delhi,2021-07-27,1,Two-Year,DSL,50,No
141,Ridhi Rege,Female,61,Asansol,Tamil Nadu,2021-06-23,3,Two-Year,5G,42,No
142,Onveer Hayer,Male,62,Ahmedabad,Tamil Nadu,2024-01-10,1,Two-Year,Fiber,2,No
143,Chanakya Datta,Female,25,Vellore,Rajasthan,2023-11-08,3,Two-Year,None,20,No
144,Patrick Mangat,Female,33,Anantapur,Tamil Nadu,2023-10-14,1,Monthly,DSL,6,No
145,Rohan Shukla,Female,35,Jalna,Tamil Nadu,2022-12-09,4,Annual,DSL,1,Yes
146,Warhi Jhaveri,Male,50,Mathura,Gujarat,2024-08-07,1,Monthly,None,26,Yes
147,Gaurika Merchant,Male,18,Loni,Maharashtra,2024-10-15,3,Two-Year,Fiber,7,No
148,Aahana Kala,Male,29,Sambalpur,Maharashtra,2024-07-26,4,Two-Year,5G,32,No
149,Timothy Kaul,Male,23,Tezpur,Madhya Pradesh,2023-09-02,4,Monthly,5G,55,Yes
150,Sarthak Dhawan,Female,58,Ahmednagar,Gujarat,2022-02-01,2,Monthly,DSL,33,Yes
151,Naksh Chacko,Male,22,Gandhidham,Rajasthan,2023-09-01,3,Monthly,Fiber,10,No
152,Chaman Merchant,Male,33,Gandhinagar,Maharashtra,2023-02-05,2,Monthly,DSL,60,Yes
153,Jeevika Dua,Male,35,Jabalpur,Rajasthan,2024-03-11,2,Two-Year,Fiber,45,No
154,Harrison Murty,Male,66,Rohtak,Rajasthan,2022-11-08,2,Two-Year,DSL,41,No
155,Farhan Prabhakar,Male,35,Bhilwara,Tamil Nadu,2022-06-01,4,Monthly,5G,15,No
156,Orinder Kakar,Female,18,,Maharashtra,2024-06-28,2,Monthly,DSL,31,Yes
157,Ekalinga Kurian,Male,36,,Delhi,2022-10-24,3,Monthly,DSL,24,Yes
158,Gaurangi Subramaniam,Female,25,Burhanpur,Madhya Pradesh,2025-04-13,3,Two-Year,Fiber,29,Yes
159,Dhriti Sharma,Male,20,Jamnagar,Maharashtra,2024-06-14,2,Two-Year,Fiber,18,No
160,Ubika Dutt,Female,42,Bhiwani,Delhi,2024-03-01,2,Annual,5G,7,Yes
161,Gavin Nadig,Male,22,Sikar,Karnataka,2021-11-02,2,Annual,Fiber,34,No
162,Girish Agate,Male,57,Raipur,Delhi,2021-12-24,2,Annual,Fiber,14,No
163,Nirja Guha,Female,36,Panchkula,Delhi,2024-08-01,2,Monthly,None,20,Yes
164,Gayathri Hayre,Female,35,Berhampur,Tamil Nadu,2024-08-09,2,Two-Year,DSL,29,Yes
165,Ekaja Dugar,Female,67,Pudukkottai,Tamil Nadu,2024-04-01,1,Annual,DSL,37,No
166,Wridesh Verma,Male,48,Madanapalle,Madhya Pradesh,2022-02-23,4,Monthly,Fiber,42,No
167,Watika Wadhwa,Female,50,Nashik,Tamil Nadu,2025-01-31,4,Monthly,Fiber,31,No
168,Rachit Tripathi,Male,64,Amroha,Delhi,2022-10-04,4,Annual,DSL,19,No
169,Urvashi Comar,Male,35,Dehradun,Gujarat,2025-05-13,2,Monthly,,23,No
170,Zayyan Balan,Female,56,Bhiwani,Tamil Nadu,2022-05-22,1,Annual,None,7,Yes
171,Oeshi Mukherjee,Female,33,Nashik,Tamil Nadu,2025-02-10,4,Two-Year,DSL,6,Yes
172,Varsha Morar,Male,33,Rewa,Delhi,2024-10-17,3,Annual,Fiber,55,Yes
173,Yasti Dey,Male,64,Cuttack,Karnataka,2021-11-08,4,Annual,Fiber,35,Yes
174,Triya Sura,Female,55,,Karnataka,2022-12-05,4,Annual,Fiber,29,No
175,Odika Dugar,Female,58,Berhampore,Maharashtra,2021-09-02,4,Monthly,Fiber,55,Yes
176,Ikbal Gopal,Female,24,Siwan,Madhya Pradesh,2022-04-22,4,Monthly,DSL,13,No
177,Waida Sankar,Male,31,Satna,Karnataka,2022-09-07,3,Monthly,Fiber,39,No
178,Indrajit Shanker,Male,60,Pali,Tamil Nadu,2022-03-12,2,Two-Year,Fiber,25,No
179,Kashvi Dasgupta,Male,65,Gorakhpur,Gujarat,2021-09-07,3,Two-Year,None,34,No
180,Ladli Warrior,Male,42,Sirsa,Maharashtra,2023-11-12,3,Monthly,DSL,19,No
181,Gopal Garg,Male,49,Belgaum,Madhya Pradesh,2022-04-22,2,Two-Year,Fiber,4,No
182,Krishna Oommen,Male,55,Ongole,Gujarat,2025-05-15,3,Annual,Fiber,24,No
183,Timothy Johal,Female,39,Satara,Gujarat,2022-05-26,3,Two-Year,5G,33,No
184,Andrew Munshi,Male,33,Sirsa,Tamil Nadu,2024-09-21,4,Monthly,5G,43,Yes
185,Aayush Deep,Male,69,,Delhi,2023-02-13,4,Annual,DSL,2,No
186,Dominic Khosla,Male,46,Haldia,Delhi,2024-09-27,2,Annual,DSL,2,Yes
187,Zayyan Mistry,Female,33,Bangalore,Delhi,2024-09-23,4,Monthly,5G,14,No
188,Unni Prabhu,Male,29,Giridih,Karnataka,2025-02-12,2,Monthly,None,50,No
189,Bhavini Bose,Male,34,Malegaon,Delhi,2023-07-13,2,Monthly,Fiber,11,Yes
190,Daksh Dhaliwal,Female,54,Munger,Madhya Pradesh,2023-12-02,1,Monthly,5G,34,No
191,Chandani Kuruvilla,Male,44,Nashik,Tamil Nadu,2021-03-15,2,Monthly,5G,55,No
192,Rajeshri Seshadri,Male,42,Bangalore,Karnataka,2023-03-20,3,Annual,Fiber,38,Yes
193,Sara Sahota,Male,30,Alappuzha,Madhya Pradesh,2023-04-11,2,Annual,Fiber,28,No
194,Jyoti Gole,Male,25,Erode,Delhi,2023-11-12,1,Two-Year,DSL,39,No
195,Charita Narain,Male,22,Allahabad,Madhya Pradesh,2021-08-08,3,Monthly,Fiber,22,No
196,Chandran Kade,Female,29,Nandyal,Gujarat,2021-03-20,1,Two-Year,Fiber,42,No
197,Ayush Chana,Female,58,Muzaffarnagar,Tamil Nadu,2021-08-23,4,Annual,None,33,No
198,Upkaar Vaidya,Female,20,Dibrugarh,Tamil Nadu,2021-06-06,3,Monthly,DSL,38,Yes
199,Zansi Sama,Male,52,Pimpri-Chinchwad,Madhya Pradesh,2021-11-23,2,Annual,DSL,52,No
200,Bachittar Hegde,Male,50,Chinsurah,Maharashtra,2024-02-12,1,Annual,Fiber,31,No
201,Omya Barad,Male,39,Nellore,Tamil Nadu,2022-10-04,2,Monthly,DSL,57,Yes
202,Yatan Mohan,Female,67,Patiala,Gujarat,2022-09-13,4,Annual,5G,14,No
203,Neha Madan,Male,61,Kollam,Tamil Nadu,2023-09-12,3,Annual,Fiber,38,No
204,Utkarsh Nair,Male,26,Bhopal,Maharashtra,2024-07-22,2,Two-Year,Fiber,9,No
205,Ira Agarwal,Female,58,Kulti,Tamil Nadu,2024-11-05,4,Two-Year,Fiber,24,No
206,Andrew Kuruvilla,Male,35,Jamshedpur,Rajasthan,2023-11-10,2,Annual,Fiber,29,No
207,Aarini Dhingra,Female,67,Akola,Tamil Nadu,2024-05-17,3,Annual,5G,5,No
208,Bhavika Nath,Female,46,Sangli-Miraj & Kupwad,Maharashtra,2022-08-29,4,Two-Year,Fiber,42,No
209,Vanya Karpe,Female,56,Bhavnagar,Rajasthan,2023-05-14,4,Two-Year,Fiber,60,Yes
210,Ikshita Mutti,Male,44,Hajipur,Rajasthan,2023-01-19,1,Two-Year,DSL,39,No
211,Shaurya Khare,Male,53,Jamshedpur,Tamil Nadu,2024-03-29,3,Annual,DSL,27,Yes
212,Liam Lad,Male,62,,Madhya Pradesh,2023-07-04,4,Monthly,Fiber,8,Yes
213,Ladli Mistry,Male,34,Anantapur,Karnataka,2023-06-18,3,Two-Year,DSL,29,No
214,Upkaar Yogi,Male,51,Kirari Suleman Nagar,Rajasthan,2023-09-25,2,Monthly,Fiber,60,No
215,Rayaan Dar,Male,63,Tenali,Madhya Pradesh,2023-05-10,3,Annual,Fiber,53,Yes
216,Balhaar Atwal,Male,20,Bhiwandi,Tamil Nadu,2022-07-27,1,Monthly,Fiber,12,No
217,Vansha Ramaswamy,Female,22,Jalandhar,Delhi,2021-02-07,3,Monthly,Fiber,8,Yes
218,Sai Oommen,Male,31,Ujjain,Delhi,2021-04-28,3,Monthly,Fiber,42,No
219,Devika Kuruvilla,Female,20,Proddatur,Karnataka,2022-01-25,2,Two-Year,DSL,41,No
220,Inaya Banik,Male,40,Sikar,Rajasthan,2022-11-11,1,Annual,Fiber,21,No
221,Yasti Suri,Male,56,Tirunelveli,Tamil Nadu,2022-01-12,2,Annual,Fiber,56,No
222,Ronith Bhavsar,Male,47,,Gujarat,2023-04-29,4,Annual,DSL,48,No
223,Balhaar Datta,Female,67,Dindigul,Rajasthan,2022-01-11,2,Two-Year,DSL,47,No
224,Warinder Seshadri,Female,62,Rewa,Tamil Nadu,2022-08-18,1,Monthly,Fiber,9,No
225,Raagini Yadav,Female,40,Jaunpur,Delhi,2023-01-17,1,Annual,Fiber,14,No
226,Omaja Bala,Female,44,Morbi,Maharashtra,2023-12-02,3,Annual,5G,1,No
227,Abha Vyas,Male,27,Rampur,Karnataka,2025-02-02,1,Two-Year,Fiber,55,No
228,Jatin Hans,Female,42,Etawah,Maharashtra,2022-04-03,2,Monthly,DSL,31,No
229,Oviya Khatri,Male,30,Kakinada,Gujarat,2024-02-28,1,Two-Year,Fiber,16,No
230,Isaiah Mammen,Male,33,Jorhat,Tamil Nadu,2023-11-18,4,Monthly,5G,39,Yes
231,Xalak Thakkar,Female,58,Panihati,Gujarat,2023-01-11,1,Monthly,5G,27,No
232,Ekalinga Sagar,Female,51,Pallavaram,Maharashtra,2022-09-21,1,Monthly,DSL,11,Yes
233,Priya Talwar,Female,54,Belgaum,Tamil Nadu,2021-11-22,2,Monthly,Fiber,2,No
234,Jhalak Dar,Female,39,Arrah,Rajasthan,2025-03-13,3,Annual,DSL,60,No
235,Tanveer Reddy,Female,34,Bulandshahr,Madhya Pradesh,2022-09-11,3,Annual,DSL,31,No
236,Siya Mandal,Female,40,Pallavaram,Madhya Pradesh,2021-11-21,2,Monthly,Fiber,50,No
237,Abeer Master,Female,53,Ghaziabad,Rajasthan,2024-03-29,3,Annual,5G,60,No
238,Pranav Sridhar,Female,66,Nizamabad,Gujarat,2022-05-31,4,Two-Year,None,24,No
239,Idika Mangal,Male,26,Durgapur,Madhya Pradesh,2023-01-16,4,Two-Year,Fiber,39,Yes
240,Zinal Oak,Female,69,Ozhukarai,Madhya Pradesh,2024-07-01,3,Annual,5G,3,No
241,Bimala Solanki,Female,19,Aizawl,Delhi,2021-09-05,2,Two-Year,DSL,48,No
242,Darpan Dhillon,Male,49,Karaikudi,Madhya Pradesh,2024-10-08,2,Annual,DSL,58,No
243,Vihaan Yohannan,Female,67,Jammu,Delhi,2022-02-02,3,Monthly,Fiber,4,No
244,Elijah Gola,Male,39,Bahraich,Karnataka,2022-08-05,1,Monthly,Fiber,30,No
245,Laban Wason,Male,60,Suryapet,Delhi,2021-07-22,3,Monthly,None,3,Yes
246,Benjamin Bhatia,Female,30,Ozhukarai,Delhi,2024-08-18,4,Annual,5G,4,No
247,Chameli Ganesan,Male,25,Dhule,Maharashtra,2024-03-17,4,Two-Year,DSL,58,No
248,Xavier Dara,Male,18,Ahmednagar,Delhi,2021-08-09,1,Two-Year,5G,13,No
249,Om Raval,Male,34,Rohtak,Delhi,2023-05-17,4,Monthly,5G,53,No
250,Tanay Chahal,Male,29,Sikar,Maharashtra,2025-05-03,2,Annual,Fiber,14,No
251,Orinder Aggarwal,Female,21,Hospet,Delhi,2021-09-20,1,Annual,Fiber,10,No
252,Wridesh Dugar,Male,30,Nanded,Madhya Pradesh,2021-10-23,1,Two-Year,5G,14,Yes
253,Idika Krishnan,Female,48,Shimla,Rajasthan,2024-08-31,1,Monthly,5G,17,Yes
254,Watika Venkataraman,Male,58,Malda,Delhi,2023-10-17,2,Monthly,,22,No
255,Niharika Patla,Male,24,Gurgaon,Karnataka,2021-10-19,4,Two-Year,Fiber,46,No
256,Divya Banik,Male,40,Bhilwara,Delhi,2022-11-15,3,Two-Year,DSL,37,No
257,Mohini Rajagopal,Male,41,Jorhat,Delhi,2023-05-26,4,Monthly,5G,21,Yes
258,Jagat Chanda,Female,22,Dibrugarh,Karnataka,2023-11-21,3,Monthly,DSL,25,No
259,Jacob Ramanathan,Female,22,Muzaffarpur,Rajasthan,2023-12-04,1,Annual,5G,3,No
260,Oliver Bal,Male,34,Uluberia,Maharashtra,2022-07-09,3,Two-Year,Fiber,19,No
261,Bahadurjit Murthy,Male,47,Bihar Sharif,Madhya Pradesh,2024-03-03,4,Monthly,Fiber,32,No
262,Om Taneja,Female,26,Delhi,Rajasthan,2021-12-15,2,Two-Year,Fiber,15,No
263,Tanmayi Bansal,Male,23,,Delhi,2021-08-07,4,Monthly,Fiber,41,No
264,Rajeshri Goyal,Male,42,Siwan,Madhya Pradesh,2023-10-20,2,Annual,Fiber,24,No
265,Faris Biswas,Male,36,Raiganj,Gujarat,2022-03-26,2,Annual,5G,9,No
266,Abhiram Kade,Female,33,Jorhat,Madhya Pradesh,2022-05-19,2,Monthly,Fiber,10,No
267,Chameli Guha,Female,38,Jammu,Maharashtra,2021-03-27,3,Monthly,DSL,48,No
268,Indira Mahal,Female,19,Shimoga,Maharashtra,2024-06-28,1,Monthly,None,32,No
